Job Title,Company,Experience Required,Location,Rating,Salary Disclosure,Min Experience,Max Experience,Min Salary,Max Salary
Data Analyst,Confidential,8-10 Yrs,"New Delhi, Bangalore",Not Rated,Not Disclosed,8.0,10.0,,
Data Analyst,Wipro,2-7 Yrs,New Delhi,3.7,Disclosed,2.0,7.0,4.5,9.5
Data Analyst,Global Survey,0-1 Yrs,New Delhi,5.0,Not Disclosed,0.0,1.0,,
Data Analyst,Global Survey,0-3 Yrs,New Delhi,5.0,Not Disclosed,0.0,3.0,,
Data Analyst,Career Ambitious,0-2 Yrs,New Delhi,5.0,Not Disclosed,0.0,2.0,,
Data Analyst,Scaleupally,0-2 Yrs,New Delhi,4.1,Not Disclosed,0.0,2.0,,
Data Analyst,Confidential,0-5 Yrs,New Delhi,Not Rated,Not Disclosed,0.0,5.0,,
Market Risk Average Daily Traded Volume Data Analysis - Associate,JPMorgan Chase Bank,3-6 Yrs,"New Delhi, Pune, Bangalore",4.0,Not Disclosed,3.0,6.0,,
Jr . BUSINESS DATA ANALYST,Nsight Consulting,,New Delhi,3.0,Disclosed,,,,
Data Analyst,Sleek Tech,1-4 Yrs,"New Delhi, Pune, Bangalore",4.5,Not Disclosed,1.0,4.0,,
Data Analyst,Confidential,2-3 Yrs,Remote,Not Rated,Not Disclosed,2.0,3.0,,
Data Analyst,Schneider Electric,3-7 Yrs,"New Delhi, Pune, Bangalore",4.2,Not Disclosed,3.0,7.0,,
Data Analyst,Confidential,2-3 Yrs,New Delhi,Not Rated,Not Disclosed,2.0,3.0,,
Data Analyst,Eurofins,3-6 Yrs,,3.3,Not Disclosed,3.0,6.0,,
Data Analyst,RSM US in India,3-5 Yrs,"New Delhi, Bangalore",3.3,Not Disclosed,3.0,5.0,,
Data Analyst,GreyOrange,3-5 Yrs,New Delhi,3.2,Not Disclosed,3.0,5.0,,
Data Analyst,Confidential,3-6 Yrs,"New Delhi, Pune, Bangalore",Not Rated,Not Disclosed,3.0,6.0,,
Data Analyst,Confidential,5-10 Yrs,"New Delhi, Bangalore",Not Rated,Not Disclosed,5.0,10.0,,
Data Analyst,Confidential,3-6 Yrs,,Not Rated,Not Disclosed,3.0,6.0,,
BUSINESS DATA ANALYST,Nsight Consulting,3-4 Yrs,New Delhi,3.0,Not Disclosed,3.0,4.0,,
